raw - raw,raw - raw,Truncation - Truncation,Truncation - Truncation
Raman Shift,Intensity,Truncated,Truncated
Raw Data x cm-1,Raw Data y a. u.,Raman shift cm-1,Intensity a. u.
param: nan,param: nan,param: nan,param: nan
raw data from data\raw\01_561nm_300g_3x20_mit1800_Toluol.txt,raw data from data\raw\01_561nm_300g_3x20_mit1800_Toluol.txt,Truncated to [500, 1600] cm⁻¹ (449 points).,Truncated to [500, 1600] cm⁻¹ (449 points).
749.662,1332.05,1078.429,1454.95
752.202,1314.4,1080.871,1490.45
754.741,1309.1,1083.312,1514.8
757.279,1326.4,1085.752,1491.5
759.817,1337.25,1088.191,1457.85
762.354,1355.1,1090.63,1416.75
764.89,1400.3,1093.068,1355.1
767.425,1451.15,1095.505,1306.45
769.96,1539.15,1097.942,1287.8
772.493,1685.15,1100.378,1264.6
775.026,1941.8,1102.813,1252.35
777.559,2568.05,1105.248,1261.15
780.09,4081.1,1107.681,1252.8
782.621,8174.55,1110.114,1238.35
785.151,18738.7,1112.547,1256.05
787.68,23261.75,1114.978,1218.65
790.208,23235.3,1117.409,1218.55
792.736,22100.1,1119.839,1215.0
795.263,17319.95,1122.269,1233.75
797.789,7701.85,1124.697,1236.45
800.314,3780.95,1127.125,1248.5
802.839,2919.7,1129.552,1287.05
805.363,2731.45,1131.979,1308.35
807.886,2753.95,1134.405,1360.3
810.408,2850.55,1136.83,1399.85
812.93,2877.75,1139.254,1482.5
815.451,2810.7,1141.678,1573.15
817.971,2612.95,1144.101,1672.5
820.49,2334.3,1146.523,1853.2
823.009,2077.3,1148.945,2130.25
825.526,1869.7,1151.366,2639.8
828.044,1737.9,1153.786,3278.35
830.56,1690.05,1156.205,3786.15
833.075,1711.65,1158.624,4012.3
835.59,1721.2,1161.042,3941.7
838.104,1785.1,1163.459,3622.25
840.617,1856.0,1165.876,3117.3
843.13,1943.65,1168.291,2708.85
845.642,1948.0,1170.707,2531.05
848.153,1910.0,1173.121,2601.4
850.663,1789.2,1175.535,2949.75
853.172,1652.9,1177.948,3386.15
855.681,1528.35,1180.36,3626.3
858.189,1419.45,1182.772,3688.85
860.696,1340.45,1185.182,3544.65
863.203,1293.25,1187.593,3158.2
865.709,1264.35,1190.002,2717.1
868.214,1241.65,1192.411,2439.1
870.718,1220.8,1194.819,2320.15
873.221,1202.0,1197.226,2328.9
875.724,1196.15,1199.633,2457.6
878.226,1203.35,1202.039,2799.4
880.727,1209.4,1204.444,3832.3
883.228,1212.85,1206.848,6577.05
885.728,1211.7,1209.252,10162.4
888.227,1242.2,1211.655,11286.0
890.725,1300.8,1214.058,11075.5
893.222,1376.45,1216.459,9858.75
895.719,1465.85,1218.86,6871.85
898.215,1485.55,1221.261,3542.45
900.71,1484.6,1223.66,2259.05
903.205,1446.8,1226.059,1835.9
905.699,1359.8,1228.457,1629.7
908.192,1279.9,1230.855,1530.95
910.684,1233.25,1233.251,1465.0
913.176,1202.75,1235.647,1415.6
915.666,1181.55,1238.043,1406.8
918.156,1181.75,1240.437,1378.75
920.646,1151.2,1242.831,1406.1
923.134,1167.8,1245.225,1412.5
925.622,1155.25,1247.617,1415.2
928.109,1146.75,1250.009,1397.4
930.595,1182.3,1252.4,1379.35
933.081,1173.25,1254.79,1345.95
935.566,1176.65,1257.18,1305.8
938.05,1185.35,1259.569,1284.9
940.533,1170.5,1261.958,1244.8
943.016,1172.95,1264.345,1220.6
945.498,1175.3,1266.732,1226.1
947.979,1175.45,1269.118,1226.0
950.459,1181.25,1271.504,1234.15
952.939,1203.8,1273.889,1238.7
955.418,1232.05,1276.273,1243.65
957.896,1245.9,1278.656,1233.35
960.374,1289.75,1281.039,1249.1
962.85,1323.95,1283.421,1247.5
965.326,1413.4,1285.802,1245.05
967.802,1483.25,1288.183,1235.6
970.276,1570.95,1290.563,1246.5
972.75,1624.25,1292.942,1233.3
975.223,1689.6,1295.321,1248.7
977.695,1734.95,1297.699,1262.5
980.167,1773.75,1300.076,1266.9
982.638,1818.6,1302.452,1299.9
985.108,1961.6,1304.828,1343.75
987.577,2313.95,1307.203,1396.45
990.046,2877.9,1309.578,1444.9
992.513,3384.3,1311.951,1502.45
994.981,4002.5,1314.324,1528.3
